language,A_Qwen2.5_ERR,A_Qwen2.5_F1,A_Qwen3.5_ERR,A_Qwen3.5_F1,A_DeepSeekV4_ERR,A_DeepSeekV4_F1,C_Qwen2.5_ERR,C_Qwen2.5_F1,C_Qwen3.5_ERR,C_Qwen3.5_F1,C_DeepSeekV4_ERR,C_DeepSeekV4_F1,Mean_delta_ERR,Mean_delta_F1
de,32.42,55.90,49.03,69.71,52.92,72.10,32.65,54.63,47.08,67.09,52.58,71.33,-0.69,-1.55
en,58.14,77.21,56.56,76.64,61.77,79.83,59.08,78.03,58.45,77.95,63.35,80.86,+1.47,+1.05
hr,36.72,59.95,47.89,68.73,61.73,77.85,38.03,60.02,48.84,68.66,61.68,77.46,+0.73,-0.13
id,58.68,74.82,62.76,77.69,68.74,81.92,60.72,76.30,63.78,78.32,70.98,83.42,+1.77,+1.20
iden,58.46,77.35,60.17,78.64,67.01,82.69,58.12,77.71,54.70,75.97,66.84,82.92,-1.99,-0.69
ja,10.69,33.41,14.35,37.43,32.94,55.01,14.06,33.37,16.98,37.62,34.70,56.10,+2.59,+0.42
ko,-12.05,19.13,-9.04,20.96,-0.60,28.33,-7.83,14.35,-6.02,14.56,1.81,22.75,+3.21,-5.58
nl,28.64,52.67,38.52,61.20,52.24,71.54,27.81,51.86,36.14,59.18,52.15,71.65,-1.10,-0.90
sl,44.83,66.17,54.62,73.30,72.31,84.93,45.17,66.32,54.16,72.95,72.19,84.77,-0.08,-0.12
sr,47.61,67.81,56.43,74.16,66.94,81.03,46.51,67.50,57.24,75.04,68.55,82.39,+0.44,+0.64
th,23.79,53.67,24.05,50.78,42.24,67.57,18.45,52.34,17.56,50.08,39.69,68.98,-4.79,-0.21
vi,62.96,78.42,68.03,81.83,76.00,86.92,63.43,78.80,69.15,82.58,76.61,87.34,+0.73,+0.52
Avg_delta,,,,,,,+0.44,-0.44,-0.44,-0.92,+0.57,+0.02,+0.19,-0.45
