language,A_Qwen2.5_ERR,A_Qwen2.5_F1,A_Qwen3.5_ERR,A_Qwen3.5_F1,A_DeepSeekV4_ERR,A_DeepSeekV4_F1,B_Qwen2.5_ERR,B_Qwen2.5_F1,B_Qwen3.5_ERR,B_Qwen3.5_F1,B_DeepSeekV4_ERR,B_DeepSeekV4_F1,Mean_delta_ERR,Mean_delta_F1
de,32.42,55.90,49.03,69.71,52.92,72.10,37.23,61.02,51.09,71.63,53.61,72.91,+2.52,+2.62
en,58.14,77.21,56.56,76.64,61.77,79.83,58.93,78.37,57.35,77.76,60.51,79.54,+0.11,+0.66
hr,36.72,59.95,47.89,68.73,61.73,77.85,40.05,61.27,48.66,68.65,61.91,77.96,+1.43,+0.45
id,58.68,74.82,62.76,77.69,68.74,81.92,58.77,74.90,62.96,77.91,69.13,82.27,+0.23,+0.21
iden,58.46,77.35,60.17,78.64,67.01,82.69,60.51,78.31,62.22,79.78,68.38,83.61,+1.82,+1.01
ja,10.69,33.41,14.35,37.43,32.94,55.01,15.52,35.67,26.06,46.10,37.77,59.72,+7.13,+5.22
ko,-12.05,19.13,-9.04,20.96,-0.60,28.33,-1.81,15.08,7.83,19.90,0.00,23.15,+9.24,-3.43
nl,28.64,52.67,38.52,61.20,52.24,71.54,33.12,57.03,42.09,64.54,52.61,72.03,+2.81,+2.73
sl,44.83,66.17,54.62,73.30,72.31,84.93,53.95,72.32,58.51,76.81,73.40,85.82,+4.70,+3.52
sr,47.61,67.81,56.43,74.16,66.94,81.03,48.57,68.61,56.72,74.64,67.74,81.87,+0.69,+0.71
th,23.79,53.67,24.05,50.78,42.24,67.57,35.24,63.82,38.42,65.23,45.04,70.69,+9.54,+9.24
vi,62.96,78.42,68.03,81.83,76.00,86.92,73.14,85.24,74.78,86.21,79.09,88.80,+6.67,+4.36
Avg_delta,,,,,,,+5.19,+2.93,+5.28,+3.17,+1.25,+0.72,+3.91,+2.27
