language,C_Qwen2.5_ERR,C_Qwen2.5_F1,C_Qwen3.5_ERR,C_Qwen3.5_F1,C_DeepSeekV4_ERR,C_DeepSeekV4_F1,D_Qwen2.5_ERR,D_Qwen2.5_F1,D_Qwen3.5_ERR,D_Qwen3.5_F1,D_DeepSeekV4_ERR,D_DeepSeekV4_F1,Mean_delta_ERR,Mean_delta_F1
de,32.65,54.63,47.08,67.09,52.58,71.33,37.00,58.21,48.00,67.66,50.74,69.68,+1.15,+0.83
en,59.08,78.03,58.45,77.95,63.35,80.86,61.45,79.63,60.82,79.50,63.35,80.89,+1.58,+1.06
hr,38.03,60.02,48.84,68.66,61.68,77.46,40.52,61.66,49.14,68.34,62.63,78.58,+1.25,+0.82
id,60.72,76.30,63.78,78.32,70.98,83.42,60.87,76.41,64.03,78.58,71.46,83.80,+0.29,+0.25
iden,58.12,77.71,54.70,75.97,66.84,82.92,59.83,78.26,58.80,77.75,66.84,82.59,+1.94,+0.66
ja,14.06,33.37,16.98,37.62,34.70,56.10,18.01,36.22,16.98,37.62,41.58,60.84,+3.61,+2.53
ko,-7.83,14.35,-6.02,14.56,1.81,22.75,2.41,14.74,0.00,17.82,3.61,22.33,+6.02,+1.07
nl,27.81,51.86,36.14,59.18,52.15,71.65,33.03,55.74,40.81,63.47,53.89,73.47,+3.87,+3.33
sl,45.17,66.32,54.16,72.95,72.19,84.77,54.25,72.53,58.18,76.56,73.11,85.59,+4.67,+3.54
sr,46.51,67.50,57.24,75.04,68.55,82.39,48.05,68.17,57.46,75.20,68.92,82.81,+0.71,+0.42
th,18.45,52.34,17.56,50.08,39.69,68.98,34.73,59.70,33.46,64.97,41.48,70.66,+11.32,+7.98
vi,63.43,78.80,69.15,82.58,76.61,87.34,74.45,86.00,75.71,86.80,79.32,88.98,+6.77,+4.35
Avg_delta,,,,,,,+5.70,+3.00,+3.78,+2.85,+1.32,+0.85,+3.60,+2.24
