language,B_Qwen2.5_ERR,B_Qwen2.5_F1,B_Qwen3.5_ERR,B_Qwen3.5_F1,B_DeepSeekV4_ERR,B_DeepSeekV4_F1,D_Qwen2.5_ERR,D_Qwen2.5_F1,D_Qwen3.5_ERR,D_Qwen3.5_F1,D_DeepSeekV4_ERR,D_DeepSeekV4_F1,Mean_delta_ERR,Mean_delta_F1
de,37.23,61.02,51.09,71.63,53.61,72.91,37.00,58.21,48.00,67.66,50.74,69.68,-2.06,-3.34
en,58.93,78.37,57.35,77.76,60.51,79.54,61.45,79.63,60.82,79.50,63.35,80.89,+2.95,+1.45
hr,40.05,61.27,48.66,68.65,61.91,77.96,40.52,61.66,49.14,68.34,62.63,78.58,+0.55,+0.24
id,58.77,74.90,62.96,77.91,69.13,82.27,60.87,76.41,64.03,78.58,71.46,83.80,+1.83,+1.24
iden,60.51,78.31,62.22,79.78,68.38,83.61,59.83,78.26,58.80,77.75,66.84,82.59,-1.88,-1.04
ja,15.52,35.67,26.06,46.10,37.77,59.72,18.01,36.22,16.98,37.62,41.58,60.84,-0.93,-2.27
ko,-1.81,15.08,7.83,19.90,0.00,23.15,2.41,14.74,0.00,17.82,3.61,22.33,-0.00,-1.08
nl,33.12,57.03,42.09,64.54,52.61,72.03,33.03,55.74,40.81,63.47,53.89,73.47,-0.03,-0.30
sl,53.95,72.32,58.51,76.81,73.40,85.82,54.25,72.53,58.18,76.56,73.11,85.59,-0.11,-0.09
sr,48.57,68.61,56.72,74.64,67.74,81.87,48.05,68.17,57.46,75.20,68.92,82.81,+0.47,+0.35
th,35.24,63.82,38.42,65.23,45.04,70.69,34.73,59.70,33.46,64.97,41.48,70.66,-3.01,-1.47
vi,73.14,85.24,74.78,86.21,79.09,88.80,74.45,86.00,75.71,86.80,79.32,88.98,+0.83,+0.51
Avg_delta,,,,,,,+0.95,-0.36,-1.94,-1.24,+0.65,+0.15,-0.12,-0.48
